time accel_x accel_y accel_z gyro_x gyro_y gyro_z
6256429 +1.003418 -0.004395 +0.027344 -3.841464 +1.158537 +2.134146
6256431 +1.005859 -0.003418 +0.021484 -3.719512 +0.975610 +2.195122
6256433 +1.006348 -0.002441 +0.020508 -3.902439 +0.670732 +2.134146
6256435 +1.004883 +0.004883 +0.023926 -3.963415 +0.853659 +2.134146
6256437 +1.002441 +0.004883 +0.033203 -3.841464 +0.670732 +2.134146
6256439 +1.013184 -0.000977 +0.023438 -3.719512 +0.975610 +2.012195
6256441 +1.005859 +0.000488 +0.024902 -3.963415 +0.792683 +2.012195
6256443 +1.011719 +0.000977 +0.025391 -3.841464 +0.853659 +2.134146
6256445 +1.003418 -0.000977 +0.032227 -4.024390 +0.914634 +2.012195
6256447 +1.003906 +0.002441 +0.020508 -3.902439 +0.731707 +2.073171
6256449 +1.005371 +0.003418 +0.025879 -3.841464 +0.914634 +2.256098
6256451 +1.008301 -0.002930 +0.031250 -3.719512 +0.731707 +2.195122
6256453 +1.007324 +0.003418 +0.033203 -3.902439 +0.914634 +2.012195
6256455 +1.005859 +0.001465 +0.030273 -4.024390 +1.036585 +2.256098
6256457 +1.010742 -0.003418 +0.026367 -3.902439 +0.975610 +2.012195
6256459 +1.004883 +0.000488 +0.025391 -3.780488 +0.792683 +2.195122
6256461 +1.005859 -0.000488 +0.029297 -3.902439 +0.670732 +2.256098
6256463 +1.009766 -0.000977 +0.033203 -3.841464 +0.853659 +2.195122
6256465 +1.010742 +0.000000 +0.027344 -3.841464 +0.914634 +2.073171
6256467 +1.003906 +0.000000 +0.030273 -3.902439 +0.914634 +2.195122
6256469 +1.001953 -0.000488 +0.020996 -4.024390 +1.097561 +2.073171
6256471 +1.007324 -0.005859 +0.020508 -3.963415 +0.792683 +2.073171
6256473 +1.009766 -0.001953 +0.029785 -3.963415 +0.914634 +2.134146
6256475 +1.008301 -0.003906 +0.031738 -3.841464 +0.975610 +2.073171
6256477 +1.004395 -0.006836 +0.027832 -3.780488 +0.914634 +2.134146
6256479 +1.005371 +0.000000 +0.025391 -3.902439 +0.914634 +2.134146
6256481 +1.007812 +0.000488 +0.026367 -3.902439 +0.792683 +2.012195
6256483 +1.003418 +0.000488 +0.035156 -3.719512 +0.975610 +1.890244
6256485 +1.010254 -0.002441 +0.024414 -3.902439 +0.792683 +1.829268
6256487 +1.006348 +0.001953 +0.018555 -3.902439 +1.036585 +2.134146
6256489 +1.004883 +0.001465 +0.035645 -3.841464 +0.670732 +2.195122
6256491 +1.004395 +0.002441 +0.032227 -3.780488 +0.853659 +2.195122
6256493 +1.008301 -0.002930 +0.026367 -3.902439 +0.914634 +2.012195
6256495 +1.004395 +0.000000 +0.033203 -3.841464 +0.914634 +1.951220
6256497 +1.005859 +0.001465 +0.024414 -3.902439 +0.853659 +1.951220
6256499 +1.006836 -0.006836 +0.031738 -3.902439 +0.792683 +2.195122
6256501 +1.004883 +0.003906 +0.023926 -3.902439 +0.914634 +2.134146
6256503 +1.016113 +0.003906 +0.042480 -3.902439 +0.853659 +2.073171
6256505 +1.006836 -0.002441 +0.031250 -3.841464 +0.670732 +2.195122
6256507 +1.004883 -0.004395 +0.027344 -3.841464 +0.792683 +1.890244
6256509 +1.012695 -0.003906 +0.032227 -3.841464 +0.914634 +2.073171
6256511 +1.008301 +0.008301 +0.025879 -3.780488 +0.853659 +2.073171
6256513 +1.001953 +0.001465 +0.028809 -3.841464 +0.792683 +2.073171
6256515 +1.005371 +0.001465 +0.024902 -3.719512 +0.853659 +2.012195
6256517 +1.006836 +0.003418 +0.018066 -3.902439 +0.914634 +2.012195
6256519 +1.002930 +0.004395 +0.026367 -3.902439 +0.853659 +2.195122
6256521 +1.007812 +0.006836 +0.029297 -3.780488 +0.853659 +2.073171
6256523 +1.003906 +0.004395 +0.026855 -3.658537 +0.792683 +2.134146
6256525 +1.011230 +0.004395 +0.032227 -3.780488 +0.731707 +2.012195
6256527 +1.003418 +0.000488 +0.028320 -4.024390 +0.853659 +2.012195
6256529 +1.009766 -0.000488 +0.018066 -3.963415 +0.975610 +2.012195
6256531 +1.011719 +0.004883 +0.025391 -3.780488 +0.731707 +1.951220
6256533 +1.009766 +0.000488 +0.028809 -3.902439 +0.853659 +2.134146
6256535 +1.005371 +0.005371 +0.026855 -3.841464 +0.975610 +2.012195
6256537 +0.999512 +0.001953 +0.019043 -3.841464 +1.036585 +2.256098
6256539 +1.005371 -0.006348 +0.033691 -3.963415 +0.914634 +2.073171
6256541 +1.009766 +0.000977 +0.028320 -3.719512 +0.853659 +2.256098
6256543 +1.005859 -0.000488 +0.027832 -3.841464 +0.914634 +1.951220
6256545 +1.007812 +0.000977 +0.023438 -3.841464 +0.853659 +1.951220
6256547 +1.002930 +0.002930 +0.028320 -3.841464 +0.792683 +2.012195
6256549 +1.003906 +0.007324 +0.026367 -3.963415 +0.975610 +2.073171
6256551 +1.005859 +0.006836 +0.028320 -3.841464 +0.914634 +2.073171
6256553 +1.005371 +0.004883 +0.027344 -3.902439 +0.975610 +1.951220
6256555 +1.008789 +0.009277 +0.022949 -3.658537 +0.914634 +2.134146
6256557 +1.008789 -0.001953 +0.020996 -3.841464 +0.731707 +2.256098
6256559 +1.007324 -0.001465 +0.023926 -4.085366 +0.914634 +2.012195
6256561 +1.005371 +0.000977 +0.029785 -3.963415 +0.853659 +2.134146
6256563 +1.005859 +0.000488 +0.026367 -3.841464 +0.853659 +2.134146
6256565 +1.008301 -0.000977 +0.021973 -3.841464 +1.097561 +2.012195
6256567 +1.007812 -0.002441 +0.033203 -3.780488 +0.914634 +2.134146
6256569 +1.008789 -0.002930 +0.023926 -3.902439 +0.975610 +2.012195
6256571 +1.008789 -0.001465 +0.034180 -3.902439 +0.914634 +2.560976
6256573 +1.006836 +0.003418 +0.035645 -3.902439 +0.975610 +2.073171
6256575 +1.000488 +0.003418 +0.022461 -3.780488 +0.914634 +2.134146
6256577 +1.003418 -0.000977 +0.022461 -4.024390 +0.914634 +2.073171
6256579 +1.007812 -0.002441 +0.032715 -3.902439 +1.036585 +1.890244
6256581 +1.011719 +0.000000 +0.020020 -3.841464 +0.853659 +2.195122
6256583 +1.006836 +0.000977 +0.036621 -3.719512 +0.853659 +2.012195
6256585 +1.009766 -0.010254 +0.033691 -3.841464 +1.036585 +2.073171
